Movies,Domestic,International,Worldwild,Distributor,Opening,Budget,Release_Date,MPAA,Runing_Time,Genres
Dogma,"$30,652,890 ","$464,581 ","$31,117,471 ",Lionsgate,"$8,669,945 ","$10,000,000 ",12-Nov-99,R,2 hr 10 min,"Adventure
    
        Comedy
    
        Drama
    
        Fantasy"
The Talented Mr. Ripley,"$81,298,265 ","$47,500,000 ","$128,798,265 ",Paramount Pictures,"$12,738,237 ","$40,000,000 ",25-Dec-99,R,2 hr 19 min,"Crime
    
        Drama
    
        Thriller"
Saving Private Ryan,"$216,540,909 ","$265,300,000 ","$481,840,909 ",DreamWorks Distribution,"$30,576,104 ","$70,000,000 ",24-Jul-98,R,2 hr 49 min,"Drama
    
        War"
The Wood,"$25,059,640 ",,"$25,059,640 ",Paramount Pictures,"$8,515,223 ","$6,000,000 ",16-Jul-99,R,1 hr 46 min,"Comedy
    
        Drama
    
        Romance"
Arlington Road,"$24,756,177 ","$16,311,134 ","$41,067,311 ",Sony Pictures Entertainment (SPE),"$7,515,145 ","$31,000,000 ",9-Jul-99,R,1 hr 57 min,"Action
    
        Crime
    
        Drama
    
        Mystery
    
        Thriller"
Blast from the Past,"$26,511,114 ","$13,751,906 ","$40,263,020 ",New Line Cinema,"$7,771,066 ","$35,000,000 ",12-Feb-99,PG-13,1 hr 52 min,"Comedy
    
        Drama
    
        Romance
    
        Sci-Fi"
Baby Geniuses,"$27,250,736 ","$9,200,000 ","$36,450,736 ",Sony Pictures Entertainment (SPE),"$5,613,587 ","$12,000,000 ",12-Mar-99,PG,1 hr 37 min,"Comedy
    
        Crime
    
        Family
    
        Sci-Fi"
Mystery Men,"$29,762,011 ","$3,699,000 ","$33,461,011 ",Universal Pictures,"$10,017,865 ","$68,000,000 ",6-Aug-99,PG-13,2 hr 1 min,"Action
    
        Comedy
    
        Fantasy
    
        Sci-Fi"
Superstar,"$30,636,478 ",,"$30,636,478 ",Paramount Pictures,"$8,912,743 ","$34,000,000 ",8-Oct-99,PG-13,1 hr 21 min,"Comedy
    
        Romance"
The Other Sister,"$27,807,627 ",,"$27,807,627 ",Walt Disney Studios Motion Pictures,"$6,624,445 ","$35,000,000 ",26-Feb-99,PG-13,2 hr 9 min,"Comedy
    
        Drama
    
        Romance"
Mighty Joe Young,"$50,632,037 ",,"$50,632,037 ",Walt Disney Studios Motion Pictures,"$10,602,042 ","$90,000,000 ",25-Dec-98,PG,1 hr 54 min,"Action
    
        Adventure
    
        Family
    
        Fantasy
    
        Thriller"
Random Hearts,"$31,502,583 ","$43,105,987 ","$74,608,570 ",Sony Pictures Entertainment (SPE),"$13,012,585 ","$64,000,000 ",8-Oct-99,R,2 hr 13 min,"Drama
    
        Mystery
    
        Romance"
The Out-of-Towners,"$28,544,120 ",,"$28,544,120 ",Paramount Pictures,"$8,224,215 ","$75,000,000 ",2-Apr-99,PG-13,1 hr 30 min,Comedy
Bicentennial Man,"$58,223,861 ","$29,200,000 ","$87,423,861 ",Walt Disney Studios Motion Pictures,"$8,234,926 ","$100,000,000 ",17-Dec-99,PG,2 hr 12 min,"Comedy
    
        Drama
    
        Sci-Fi"
Mickey Blue Eyes,"$33,864,342 ","$20,400,000 ","$54,264,342 ",Warner Bros.,"$10,178,289 ","$75,000,000 ",20-Aug-99,PG-13,1 hr 42 min,"Comedy
    
        Crime
    
        Romance"
The 13th Warrior,"$32,698,899 ","$29,000,000 ","$61,698,899 ",Walt Disney Studios Motion Pictures,"$10,267,756 ","$160,000,000 ",27-Aug-99,R,1 hr 42 min,"Action
    
        Adventure
    
        History"
For Love of the Game,"$35,188,640 ","$10,924,000 ","$46,112,640 ",Universal Pictures,"$13,041,685 ","$80,000,000 ",17-Sep-99,PG-13,2 hr 17 min,"Drama
    
        Romance
    
        Sport"
Lake Placid,"$31,770,414 ","$25,100,000 ","$56,870,414 ",Twentieth Century Fox,"$10,974,145 ","$35,000,000 ",16-Jul-99,R,1 hr 22 min,"Action
    
        Comedy
    
        Horror"
Any Given Sunday,"$75,530,832 ","$24,700,000 ","$100,230,832 ",Warner Bros.,"$13,584,625 ","$55,000,000 ",22-Dec-99,R,2 hr 42 min,"Drama
    
        Sport"
Fight Club,"$37,030,102 ","$63,823,651 ","$100,853,753 ",Twentieth Century Fox,"$11,035,485 ","$63,000,000 ",15-Oct-99,R,2 hr 19 min,Drama
8MM,"$36,663,315 ","$59,955,384 ","$96,618,699 ",Sony Pictures Entertainment (SPE),"$14,252,888 ","$40,000,000 ",26-Feb-99,R,2 hr 3 min,"Crime
    
        Drama
    
        Mystery
    
        Thriller"
The Best Man,"$34,102,780 ","$471,000 ","$34,573,780 ",Universal Pictures,"$9,031,660 ","$9,000,000 ",22-Oct-99,R,2 hr,"Comedy
    
        Drama
    
        Romance"
Instinct,"$34,105,207 ",,"$34,105,207 ",Walt Disney Studios Motion Pictures,"$10,390,387 ","$80,000,000 ",4-Jun-99,R,2 hr 6 min,"Drama
    
        Thriller"
House on Haunted Hill,"$40,846,082 ","$1,747,373 ","$42,593,455 ",Warner Bros.,"$15,946,032 ","$37,000,000 ",29-Oct-99,R,1 hr 33 min,"Crime
    
        Fantasy
    
        Horror
    
        Mystery
    
        Thriller"
October Sky,"$32,570,685 ","$2,128,000 ","$34,698,685 ",Universal Pictures,"$5,905,250 ","$25,000,000 ",19-Feb-99,PG,1 hr 48 min,"Biography
    
        Drama
    
        Family"
"South Park: Bigger, Longer & Uncut","$52,037,603 ","$31,100,000 ","$83,137,603 ",Paramount Pictures,"$11,335,889 ","$21,000,000 ",30-Jun-99,R,1 hr 21 min,"Animation
    
        Comedy
    
        Fantasy
    
        Musical"
The Prince of Egypt,"$101,413,188 ","$117,200,000 ","$218,613,188 ",DreamWorks Distribution,"$14,524,321 ","$70,000,000 ",18-Dec-98,PG,1 hr 39 min,"Adventure
    
        Animation
    
        Drama
    
        Family
    
        Fantasy
    
        Musical"
Stigmata,"$50,046,268 ","$39,400,000 ","$89,446,268 ",Metro-Goldwyn-Mayer (MGM),"$18,309,666 ","$29,000,000 ",10-Sep-99,R,1 hr 43 min,Horror
You've Got Mail,"$115,821,495 ","$135,000,000 ","$250,821,495 ",Warner Bros.,"$18,426,749 ","$65,000,000 ",18-Dec-98,PG,1 hr 59 min,"Comedy
    
        Drama
    
        Romance"
Varsity Blues,"$52,894,169 ","$1,400,000 ","$54,294,169 ",Paramount Pictures,"$15,204,148 ","$16,000,000 ",15-Jan-99,R,1 hr 46 min,"Comedy
    
        Drama
    
        Romance
    
        Sport"
My Favorite Martian,"$36,850,101 ",,"$36,850,101 ",Walt Disney Studios Motion Pictures,"$8,828,586 ","$65,000,000 ",12-Feb-99,PG,1 hr 34 min,"Comedy
    
        Family
    
        Sci-Fi"
Deuce Bigalow: Male Gigolo,"$65,538,755 ","$27,400,000 ","$92,938,755 ",Walt Disney Studios Motion Pictures,"$12,224,016 ","$17,000,000 ",10-Dec-99,R,1 hr 28 min,"Comedy
    
        Romance"
Cruel Intentions,"$38,328,567 ","$37,573,641 ","$75,902,208 ",Sony Pictures Entertainment (SPE),"$13,020,565 ","$10,500,000 ",5-Mar-99,R,1 hr 37 min,"Drama
    
        Romance"
10 Things I Hate About You,"$38,178,166 ","$15,300,000 ","$53,478,166 ",Walt Disney Studios Motion Pictures,"$8,330,681 ","$30,000,000 ",31-Mar-99,PG-13,1 hr 37 min,"Comedy
    
        Drama
    
        Romance"
Stepmom,"$91,137,662 ","$68,573,131 ","$159,710,793 ",Sony Pictures Entertainment (SPE),"$19,142,440 ","$50,000,000 ",25-Dec-98,PG-13,2 hr 5 min,"Comedy
    
        Drama"
Three Kings,"$60,652,036 ","$47,100,000 ","$107,752,036 ",Warner Bros.,"$15,847,636 ","$75,000,000 ",1-Oct-99,R,1 hr 54 min,"Action
    
        Adventure
    
        Comedy
    
        Drama
    
        War"
The Bone Collector,"$66,518,655 ","$84,975,000 ","$151,493,655 ",Universal Pictures,"$16,712,020 ","$73,000,000 ",5-Nov-99,R,1 hr 58 min,"Crime
    
        Drama
    
        Mystery
    
        Thriller"
Message in a Bottle,"$52,880,016 ","$66,000,000 ","$118,880,016 ",Warner Bros.,"$16,751,560 ","$80,000,000 ",12-Feb-99,PG-13,2 hr 6 min,"Drama
    
        Romance"
Never Been Kissed,"$55,474,756 ","$29,090,474 ","$84,565,230 ",Twentieth Century Fox,"$11,836,707 ","$25,000,000 ",9-Apr-99,PG-13,1 hr 47 min,"Comedy
    
        Drama
    
        Romance"
Forces of Nature,"$52,900,680 ","$41,000,000 ","$93,900,680 ",DreamWorks Distribution,"$13,510,728 ","$75,000,000 ",19-Mar-99,PG-13,1 hr 45 min,"Comedy
    
        Romance"
The Green Mile,"$136,801,374 ","$150,000,000 ","$286,801,374 ",Warner Bros.,"$18,017,152 ","$60,000,000 ",10-Dec-99,R,3 hr 9 min,"Crime
    
        Drama
    
        Fantasy
    
        Mystery"
Bowfinger,"$66,384,775 ","$32,241,000 ","$98,625,775 ",Universal Pictures,"$18,062,550 ","$55,000,000 ",13-Aug-99,PG-13,1 hr 37 min,Comedy
Stuart Little,"$140,035,367 ","$160,100,000 ","$300,135,367 ",Sony Pictures Entertainment (SPE),"$15,018,223 ","$133,000,000 ",17-Dec-99,PG,1 hr 24 min,"Adventure
    
        Comedy
    
        Family
    
        Fantasy"
Eyes Wide Shut,"$55,691,208 ","$106,400,000 ","$162,091,208 ",Warner Bros.,"$21,706,163 ","$65,000,000 ",16-Jul-99,R,2 hr 39 min,"Drama
    
        Mystery
    
        Thriller"
Blue Streak,"$68,518,533 ","$49,239,967 ","$117,758,500 ",Sony Pictures Entertainment (SPE),"$19,208,806 ","$65,000,000 ",17-Sep-99,PG-13,1 hr 33 min,"Action
    
        Comedy
    
        Crime
    
        Thriller"
The Thomas Crown Affair,"$69,305,181 ","$55,000,000 ","$124,305,181 ",Metro-Goldwyn-Mayer (MGM),"$14,600,719 ","$48,000,000 ",6-Aug-99,R,1 hr 53 min,"Crime
    
        Romance
    
        Thriller"
She's All That,"$63,366,989 ","$39,800,000 ","$103,166,989 ",Miramax,"$16,065,430 ","$10,000,000 ",29-Jan-99,PG-13,1 hr 35 min,"Comedy
    
        Romance"
Life,"$64,016,268 ","$9,459,000 ","$73,475,268 ",Universal Pictures,"$20,414,775 ","$80,000,000 ",16-Apr-99,R,1 hr 48 min,"Comedy
    
        Crime
    
        Drama"
End of Days,"$66,889,043 ","$145,100,000 ","$211,989,043 ",Universal Pictures,"$20,523,595 ","$100,000,000 ",24-Nov-99,R,2 hr 2 min,"Action
    
        Fantasy
    
        Horror
    
        Thriller"
Sleepy Hollow,"$101,071,502 ","$105,000,000 ","$206,071,502 ",Paramount Pictures,"$30,060,467 ","$100,000,000 ",19-Nov-99,R,1 hr 45 min,"Fantasy
    
        Horror
    
        Mystery"
Inspector Gadget,"$97,403,112 ","$37,000,000 ","$134,403,112 ",Walt Disney Studios Motion Pictures,"$21,889,138 ","$90,000,000 ",23-Jul-99,PG,1 hr 18 min,"Action
    
        Adventure
    
        Comedy
    
        Crime
    
        Family
    
        Sci-Fi"
The Haunting,"$91,411,151 ","$85,900,000 ","$177,311,151 ",DreamWorks Distribution,"$33,435,140 ","$80,000,000 ",23-Jul-99,PG-13,1 hr 53 min,"Fantasy
    
        Horror
    
        Mystery
    
        Thriller"
Payback,"$81,526,121 ","$80,100,000 ","$161,626,121 ",Paramount Pictures,"$21,221,526 ","$90,000,000 ",5-Feb-99,R,1 hr 40 min,"Action
    
        Crime
    
        Drama
    
        Thriller"
Patch Adams,"$135,026,902 ","$67,266,000 ","$202,292,902 ",Universal Pictures,"$25,262,280 ","$90,000,000 ",25-Dec-98,PG-13,1 hr 55 min,"Biography
    
        Comedy
    
        Drama
    
        Romance"
American Pie,"$102,561,004 ","$132,922,000 ","$235,483,004 ",Universal Pictures,"$18,709,680 ","$11,000,000 ",9-Jul-99,R,1 hr 35 min,Comedy
Deep Blue Sea,"$73,648,142 ","$91,000,000 ","$164,648,142 ",Warner Bros.,"$19,107,643 ","$60,000,000 ",30-Jul-99,R,1 hr 45 min,"Action
    
        Adventure
    
        Sci-Fi
    
        Thriller"
The World Is Not Enough,"$126,943,684 ",,"$126,943,684 ",Metro-Goldwyn-Mayer (MGM),"$35,519,007 ","$135,000,000 ",19-Nov-99,PG-13,2 hr 8 min,"Action
    
        Adventure
    
        Thriller"
Double Jeopardy,"$116,741,558 ","$61,100,000 ","$177,841,558 ",Paramount Pictures,"$23,162,542 ","$70,000,000 ",24-Sep-99,R,1 hr 45 min,"Crime
    
        Drama
    
        Mystery
    
        Thriller"
Wild Wild West,"$113,804,681 ","$108,300,000 ","$222,104,681 ",Warner Bros.,"$27,687,484 ","$170,000,000 ",30-Jun-99,PG-13,1 hr 46 min,"Action
    
        Comedy
    
        Sci-Fi
    
        Western"
Entrapment,"$87,704,396 ","$124,700,000 ","$212,404,396 ",Twentieth Century Fox,"$20,145,595 ","$66,000,000 ",30-Apr-99,PG-13,1 hr 53 min,"Action
    
        Crime
    
        Romance
    
        Thriller"
The General's Daughter,"$102,705,852 ","$47,000,000 ","$149,705,852 ",Paramount Pictures,"$22,332,053 ","$95,000,000 ",18-Jun-99,R,1 hr 56 min,"Crime
    
        Drama
    
        Mystery
    
        Thriller"
Analyze This,"$106,885,658 ","$70,000,000 ","$176,885,658 ",Warner Bros.,"$18,383,507 ","$80,000,000 ",5-Mar-99,R,1 hr 43 min,"Comedy
    
        Crime"
Notting Hill,"$116,089,678 ","$8,092,337 ","$124,182,015 ",Universal Pictures,"$21,811,180 ","$42,000,000 ",28-May-99,PG-13,2 hr 4 min,"Comedy
    
        Drama
    
        Romance"
Runaway Bride,"$152,257,509 ","$157,202,783 ","$309,460,292 ",Paramount Pictures,"$35,055,556 ","$70,000,000 ",30-Jul-99,PG,1 hr 56 min,"Comedy
    
        Romance"
Austin Powers: The Spy Who Shagged Me,"$206,040,086 ","$715,970 ","$206,756,056 ",New Line Cinema,"$17,981,900 ","$33,000,000 ",11-Jun-99,PG-13,1 hr 35 min,"Action
    
        Adventure
    
        Comedy
    
        Crime"
The Mummy,"$155,385,488 ","$177,949 ","$155,563,437 ",Universal Pictures,"$43,369,635 ","$80,000,000 ",7-May-99,PG-13,2 hr 4 min,"Action
    
        Adventure
    
        Fantasy"
The Sixth Sense,"$293,506,292 ","$379,300,000 ","$672,806,292 ",Walt Disney Studios Motion Pictures,"$26,681,262 ","$40,000,000 ",6-Aug-99,PG-13,1 hr 47 min,"Drama
    
        Mystery
    
        Thriller"
The Matrix,"$171,479,930 ","$292,037,453 ","$463,517,383 ",Warner Bros.,"$27,788,331 ","$63,000,000 ",31-Mar-99,R,2 hr 16 min,"Action
    
        Sci-Fi"
Star Wars: Episode I - The Phantom Menace,"$431,088,295 ","$493,216,789 ","$924,305,084 ",Twentieth Century Fox,"$64,820,970 ","$115,000,000 ",19-May-99,PG,2 hr 16 min,"Action
    
        Adventure
    
        Fantasy
    
        Sci-Fi"
Big Daddy,"$163,479,795 ","$71,322,100 ","$234,801,895 ",Sony Pictures Entertainment (SPE),"$41,536,370 ","$34,200,000 ",25-Jun-99,PG-13,1 hr 33 min,"Comedy
    
        Drama"
Tarzan,"$171,091,819 ","$277,100,000 ","$448,191,819 ",Walt Disney Studios Motion Pictures,"$34,221,968 ","$130,000,000 ",16-Jun-99,G,1 hr 28 min,"Adventure
    
        Animation
    
        Comedy
    
        Drama
    
        Family
    
        Music"
Peter's Friends,"$4,058,564 ",,"$4,058,564 ",The Samuel Goldwyn Company,"$353,610 ","$5,000,000 ",25-Dec-92,R,1 hr 41 min,"Comedy
    
        Drama
    
        Romance"
Light Sleeper,"$1,050,861 ","$5,126 ","$1,055,987 ",Fine Line Features,"$46,302 ","$5,000,000 ",21-Aug-92,R,1 hr 43 min,"Crime
    
        Drama"
Casablanca,"$1,719,913 ",,"$1,719,913 ",Metro-Goldwyn-Mayer (MGM),"$181,494 ","$950,000 ",10-Apr-92,PG,1 hr 42 min,"Drama
    
        Romance
    
        War"
Newsies,"$2,819,485 ",,"$2,819,485 ",Walt Disney Studios Motion Pictures,"$1,232,508 ","$15,000,000 ",10-Apr-92,PG,2 hr 1 min,"Drama
    
        Family
    
        History
    
        Musical"
Reservoir Dogs,"$2,832,029 ",,"$2,832,029 ",Miramax,"$147,839 ","$1,200,000 ",23-Oct-92,R,1 hr 39 min,"Crime
    
        Drama
    
        Thriller"
1492: Conquest of Paradise,"$7,191,399 ",,"$7,191,399 ",Paramount Pictures,"$3,002,680 ","$47,000,000 ",9-Oct-92,PG-13,2 hr 34 min,"Adventure
    
        Biography
    
        Drama
    
        History"
Christopher Columbus: The Discovery,"$8,251,071 ",,"$8,251,071 ",Warner Bros.,"$3,101,563 ","$40,000,000 ",21-Aug-92,PG-13,2 hr,"Adventure
    
        Biography
    
        Drama
    
        History"
Steel,"$1,710,972 ",,"$1,710,972 ",Warner Bros.,"$870,068 ","$16,000,000 ",15-Aug-97,PG-13,1 hr 37 min,"Action
    
        Adventure
    
        Crime
    
        Fantasy
    
        Sci-Fi"
Deconstructing Harry,"$10,686,841 ",,"$10,686,841 ",Fine Line Features,"$356,476 ","$20,000,000 ",12-Dec-97,R,1 hr 36 min,Comedy
Waiting for Guffman,"$2,923,982 ",,"$2,923,982 ",Sony Pictures Classics,"$37,990 ","$4,000,000 ",31-Jan-97,R,1 hr 24 min,Comedy
Fortress,"$6,739,141 ",,"$6,739,141 ",Miramax,"$4,040,711 ","$8,000,000 ",3-Sep-93,R,1 hr 35 min,"Action
    
        Crime
    
        Sci-Fi
    
        Thriller"
The Wedding Banquet,"$6,933,459 ",,"$6,933,459 ",The Samuel Goldwyn Company,"$134,870 ","$1,000,000 ",6-Aug-93,R,1 hr 46 min,"Comedy
    
        Drama
    
        Romance"
My Girl,"$59,489,799 ",,"$59,489,799 ",Columbia Pictures,"$12,391,783 ","$17,000,000 ",27-Nov-91,PG,1 hr 42 min,"Comedy
    
        Drama
    
        Family
    
        Romance"
The Lawnmower Man,"$32,100,816 ",,"$32,100,816 ",New Line Cinema,"$7,751,971 ","$10,000,000 ",6-Mar-92,R,1 hr 48 min,"Horror
    
        Sci-Fi"
Honeymoon in Vegas,"$35,208,854 ",,"$35,208,854 ",Columbia Pictures,"$7,318,157 ","$25,000,000 ",28-Aug-92,PG-13,1 hr 36 min,"Comedy
    
        Romance
    
        Thriller"
Alien 3,"$55,473,545 ",,"$55,473,545 ",Twentieth Century Fox,"$19,449,867 ","$50,000,000 ",22-May-92,R,1 hr 54 min,"Action
    
        Horror
    
        Sci-Fi"
The Mighty Ducks,"$50,752,337 ",,"$50,752,337 ",Walt Disney Studios Motion Pictures,"$6,035,133 ","$10,000,000 ",2-Oct-92,PG,1 hr 44 min,"Comedy
    
        Drama
    
        Family
    
        Sport"
Far and Away,"$58,883,840 ",,"$58,883,840 ",Universal Pictures,"$10,194,520 ","$60,000,000 ",22-May-92,PG-13,2 hr 20 min,"Adventure
    
        Drama
    
        Romance
    
        Western"
Death Becomes Her,"$58,422,650 ",,"$58,422,650 ",Universal Pictures,"$12,110,355 ","$55,000,000 ",31-Jul-92,PG-13,1 hr 44 min,"Comedy
    
        Fantasy
    
        Horror"
A Few Good Men,"$141,340,178 ",,"$141,340,178 ",Columbia Pictures,"$15,517,468 ","$41,000,000 ",11-Dec-92,R,2 hr 18 min,"Drama
    
        Thriller"
The Last of the Mohicans,"$75,505,856 ",,"$75,505,856 ",Twentieth Century Fox,"$10,976,661 ","$40,000,000 ",25-Sep-92,R,1 hr 52 min,"Action
    
        Adventure
    
        Drama
    
        History
    
        Romance
    
        War"
Boomerang,"$70,052,444 ",,"$70,052,444 ",Paramount Pictures,"$13,640,706 ","$42,000,000 ",1-Jul-92,R,1 hr 57 min,"Comedy
    
        Drama
    
        Romance"
Bram Stoker's Dracula,"$82,522,790 ",,"$82,522,790 ",Columbia Pictures,"$30,521,679 ","$40,000,000 ",13-Nov-92,R,2 hr 8 min,"Drama
    
        Fantasy
    
        Horror
    
        Romance"
Patriot Games,"$83,351,587 ",,"$83,351,587 ",Paramount Pictures,"$18,511,191 ","$45,000,000 ",5-Jun-92,R,1 hr 57 min,"Action
    
        Thriller"
A League of Their Own,"$107,533,928 ",,"$107,533,928 ",Sony Pictures Entertainment (SPE),"$13,739,456 ","$40,000,000 ",1-Jul-92,PG,2 hr 8 min,"Comedy
    
        Drama
    
        Sport"
Kama Sutra: A Tale of Love,"$4,109,095 ",,"$4,109,095 ",Trimark Pictures,"$53,499 ","$3,000,000 ",28-Feb-97,R,1 hr 57 min,"Crime
    
        Drama
    
        History
    
        Romance"
RoboCop 3,"$10,696,210 ",,"$10,696,210 ",Orion Pictures,"$4,304,829 ","$22,000,000 ",5-Nov-93,PG-13,1 hr 44 min,"Action
    
        Crime
    
        Sci-Fi
    
        Thriller"
Body of Evidence,"$13,273,595 ",,"$13,273,595 ",Metro-Goldwyn-Mayer (MGM),"$7,365,429 ","$30,000,000 ",15-Jan-93,R,1 hr 39 min,"Drama
    
        Thriller"
Basic Instinct,"$117,727,224 ",,"$117,727,224 ",TriStar Pictures,"$15,129,385 ","$49,000,000 ",20-Mar-92,R,2 hr 7 min,"Drama
    
        Mystery
    
        Thriller"
Batman Returns,"$162,831,698 ",,"$162,831,698 ",Warner Bros.,"$45,687,711 ","$80,000,000 ",19-Jun-92,PG-13,2 hr 6 min,"Action
    
        Crime
    
        Fantasy"
Lethal Weapon 3,"$144,731,527 ",,"$144,731,527 ",Warner Bros.,"$33,243,086 ","$35,000,000 ",15-May-92,R,1 hr 58 min,"Action
    
        Crime
    
        Thriller"
Wayne's World,"$121,697,323 ",,"$121,697,323 ",Paramount Pictures,"$18,122,710 ","$20,000,000 ",14-Feb-92,PG-13,1 hr 34 min,"Comedy
    
        Music"
Hamlet,"$4,708,156 ","$31,033 ","$4,739,189 ",Sony Pictures Entertainment (SPE),"$90,684 ","$18,000,000 ",27-Dec-96,PG-13,4 hr 2 min,Drama
Jingle All the Way,"$60,592,389 ",,"$60,592,389 ",Twentieth Century Fox,"$12,112,267 ","$60,000,000 ",22-Nov-96,PG,1 hr 29 min,"Adventure
    
        Comedy
    
        Family"
Wild Bill,"$2,193,982 ",,"$2,193,982 ",Metro-Goldwyn-Mayer (MGM),"$987,515 ","$30,000,000 ",1-Dec-95,R,1 hr 38 min,"Action
    
        Biography
    
        Western"
Heavenly Creatures,"$3,049,135 ",,"$3,049,135 ",Miramax,"$31,592 ","$5,000,000 ",16-Nov-94,R,1 hr 39 min,"Biography
    
        Crime
    
        Drama
    
        Thriller"
The Perez Family,"$2,832,826 ",,"$2,832,826 ",The Samuel Goldwyn Company,"$1,127,645 ","$11,000,000 ",12-May-95,R,1 hr 53 min,"Comedy
    
        Drama
    
        Romance"
Steal Big Steal Little,"$3,150,170 ",,"$3,150,170 ",Savoy Pictures,"$1,761,890 ","$35,000,000 ",29-Sep-95,PG-13,2 hr 15 min,Comedy
Havana,"$9,243,140 ",,"$9,243,140 ",Universal Pictures,"$2,175,360 ","$40,000,000 ",14-Dec-90,R,2 hr 24 min,"Drama
    
        Romance
    
        War"
The Bonfire of the Vanities,"$15,691,192 ",,"$15,691,192 ",Warner Bros.,"$4,216,063 ","$47,000,000 ",22-Dec-90,R,2 hr 5 min,"Comedy
    
        Drama
    
        Romance"
Henry V,"$10,161,099 ",,"$10,161,099 ",The Samuel Goldwyn Company,"$64,933 ","$9,000,000 ",8-Nov-89,PG-13,2 hr 17 min,"Biography
    
        Drama
    
        History
    
        War"
Super Mario Bros.,"$20,915,465 ",,"$20,915,465 ",Walt Disney Studios Motion Pictures,"$8,532,623 ","$48,000,000 ",28-May-93,PG,1 hr 44 min,"Adventure
    
        Comedy
    
        Family
    
        Fantasy
    
        Sci-Fi"
Much Ado About Nothing,"$22,549,338 ",,"$22,549,338 ",The Samuel Goldwyn Company,"$108,617 ","$11,000,000 ",7-May-93,PG-13,1 hr 51 min,"Comedy
    
        Drama
    
        Romance"
The Postman,"$17,626,234 ",,"$17,626,234 ",Warner Bros.,"$5,260,324 ","$80,000,000 ",25-Dec-97,R,2 hr 57 min,"Action
    
        Adventure
    
        Drama
    
        Sci-Fi"
Carlito's Way,"$36,948,322 ",,"$36,948,322 ",Universal Pictures,"$9,116,675 ","$30,000,000 ",12-Nov-93,R,2 hr 24 min,"Crime
    
        Drama
    
        Thriller"
Mr. Magoo,"$21,437,192 ",,"$21,437,192 ",Walt Disney Studios Motion Pictures,"$5,233,631 ","$30,000,000 ",25-Dec-97,PG,1 hr 27 min,"Adventure
    
        Comedy
    
        Family"
Leave It to Beaver,"$10,925,060 ",,"$10,925,060 ",Universal Pictures,"$3,252,450 ","$15,000,000 ",22-Aug-97,PG,1 hr 24 min,"Comedy
    
        Family"
Mad City,"$10,541,523 ",,"$10,541,523 ",Warner Bros.,"$4,649,742 ","$50,000,000 ",7-Nov-97,PG-13,1 hr 54 min,"Crime
    
        Drama
    
        Thriller"
The Beautician and the Beast,"$11,486,880 ",,"$11,486,880 ",Paramount Pictures,"$4,080,222 ","$16,000,000 ",7-Feb-97,PG,1 hr 45 min,"Comedy
    
        Romance"
Turbulence,"$11,538,235 ",,"$11,538,235 ",Metro-Goldwyn-Mayer (MGM),"$4,464,008 ","$55,000,000 ",10-Jan-97,R,1 hr 40 min,"Action
    
        Thriller"
White Man's Burden,"$3,734,870 ",,"$3,734,870 ",Savoy Pictures,"$1,743,251 ","$7,000,000 ",1-Dec-95,R,1 hr 29 min,"Drama
    
        Thriller"
Tank Girl,"$4,064,495 ",,"$4,064,495 ",Metro-Goldwyn-Mayer (MGM),"$2,018,183 ","$25,000,000 ",31-Mar-95,R,1 hr 44 min,"Action
    
        Comedy
    
        Sci-Fi"
Before Sunrise,"$5,535,405 ",,"$5,535,405 ",Sony Pictures Entertainment (SPE),"$1,423,537 ","$2,500,000 ",27-Jan-95,R,1 hr 41 min,"Drama
    
        Romance"
Cutthroat Island,"$10,017,322 ",,"$10,017,322 ",Metro-Goldwyn-Mayer (MGM),"$2,371,415 ","$98,000,000 ",22-Dec-95,PG-13,2 hr 4 min,"Action
    
        Adventure
    
        Comedy"
The Brothers McMullen,"$10,426,506 ",,"$10,426,506 ",Fox Searchlight Pictures,"$167,815 ","$238,000 ",11-Aug-95,R,1 hr 38 min,"Comedy
    
        Drama
    
        Romance"
In the Mouth of Madness,"$8,924,549 ",,"$8,924,549 ",New Line Cinema,"$3,441,807 ","$8,000,000 ",3-Feb-95,R,1 hr 35 min,"Drama
    
        Fantasy
    
        Horror
    
        Mystery
    
        Thriller"
The Godfather: Part III,"$66,666,062 ",,"$66,666,062 ",Paramount Pictures,"$6,387,271 ","$54,000,000 ",25-Dec-90,R,2 hr 42 min,"Crime
    
        Drama"
Snow White and the Seven Dwarfs,"$41,634,471 ",,"$41,634,471 ",Walt Disney Studios Motion Pictures,"$9,018,121 ","$1,499,000 ",2-Jul-93,Approved,1 hr 23 min,"Adventure
    
        Animation
    
        Family
    
        Fantasy
    
        Musical
    
        Romance"
Teenage Mutant Ninja Turtles III,"$42,273,609 ",,"$42,273,609 ",New Line Cinema,"$12,419,597 ","$21,000,000 ",19-Mar-93,PG,1 hr 36 min,"Action
    
        Adventure
    
        Comedy
    
        Family
    
        Fantasy
    
        Sci-Fi"
Last Action Hero,"$50,016,394 ",,"$50,016,394 ",Columbia Pictures,"$15,338,241 ","$85,000,000 ",18-Jun-93,PG-13,2 hr 10 min,"Action
    
        Adventure
    
        Comedy
    
        Fantasy"
A Few Good Men,"$141,340,178 ",,"$141,340,178 ",Columbia Pictures,"$15,517,468 ","$41,000,000 ",11-Dec-92,R,2 hr 18 min,"Drama
    
        Thriller"
