Movies,Domestic,International,Worldwild,Distributor,Opening,Budget,Release_Date,MPAA,Runing_Time,Genres
Star Wars: Episode VIII - The Last Jedi,"$620,181,382","$712,358,507","$1,332,539,889",Walt Disney Studios Motion Pictures,"$220,009,584","$317,000,000","Dec 15, 2017",PG-13,2 hr 32 min,"Action
    
        Adventure
    
        Fantasy
    
        Sci-Fi"
Creed II,"$115,715,889","$98,500,000","$214,215,889",Metro-Goldwyn-Mayer (MGM),"$35,574,710","$50,000,000","Nov 21, 2018",PG-13,2 hr 10 min,"Drama
    
        Sport"
Mary Poppins Returns,"$171,958,438","$177,579,056","$349,537,494",Walt Disney Studios Motion Pictures,"$23,523,121","$130,000,000","Dec 19, 2018",PG,2 hr 10 min,"Adventure
    
        Comedy
    
        Family
    
        Fantasy
    
        Musical"
Peter Rabbit,"$115,253,424","$236,013,009","$351,266,433",Sony Pictures Entertainment (SPE),"$25,010,928","$50,000,000","Feb 9, 2018",PG,1 hr 35 min,"Adventure
    
        Comedy
    
        Crime
    
        Drama
    
        Family
    
        Fantasy"
The Nun,"$117,450,119","$248,100,000","$365,550,119",Warner Bros.,"$53,807,379","$22,000,000","Sep 7, 2018",R,1 hr 36 min,"Horror
    
        Mystery
    
        Thriller"
Mamma Mia! Here We Go Again,"$120,634,935","$274,409,771","$395,044,706",Universal Pictures,"$34,952,180","$75,000,000","Jul 20, 2018",PG-13,1 hr 54 min,"Comedy
    
        Musical
    
        Romance"
Ready Player One,"$137,690,172","$445,200,000","$582,890,172",Warner Bros.,"$41,764,050","$175,000,000","Mar 29, 2018",PG-13,2 hr 20 min,"Action
    
        Adventure
    
        Sci-Fi"
Fantastic Beasts: The Crimes of Grindelwald,"$159,555,901","$495,300,000","$654,855,901",Warner Bros.,"$62,163,104","$200,000,000","Nov 16, 2018",PG-13,2 hr 14 min,"Adventure
    
        Family
    
        Fantasy"
Ocean's Eight,"$140,218,711","$157,500,000","$297,718,711",Warner Bros.,"$41,607,378","$70,000,000","Jun 8, 2018",PG-13,1 hr 50 min,"Action
    
        Comedy
    
        Crime
    
        Thriller"
The Meg,"$145,443,742","$384,800,000","$530,243,742",Warner Bros.,"$45,402,195","$130,000,000","Aug 10, 2018",PG-13,1 hr 53 min,"Action
    
        Horror
    
        Sci-Fi
    
        Thriller"
The Greatest Showman,"$174,340,174","$260,653,009","$434,993,183",Twentieth Century Fox,"$8,805,843","$84,000,000","Dec 20, 2017",PG,1 hr 45 min,"Biography
    
        Drama
    
        Musical"
Halloween,"$159,342,015","$96,143,163","$255,485,178",Universal Pictures,"$76,221,545","$10,000,000","Oct 19, 2018",R,1 hr 46 min,"Crime
    
        Horror
    
        Thriller"
Hotel Transylvania 3: Summer Vacation,"$167,510,016","$361,073,758","$528,583,774",Sony Pictures Entertainment (SPE),"$44,076,225","$80,000,000","Jul 13, 2018",PG,1 hr 37 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy
    
        Romance"
Crazy Rich Asians,"$174,532,921","$64,000,000","$238,532,921",Warner Bros.,"$26,510,140","$30,000,000","Aug 15, 2018",PG-13,2 hr,"Comedy
    
        Drama
    
        Romance"
Ralph Breaks the Internet,"$201,091,711","$328,232,251","$529,323,962",Walt Disney Studios Motion Pictures,"$56,237,634","$175,000,000","Nov 21, 2018",PG,1 hr 52 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy
    
        Sci-Fi"
A Quiet Place,"$188,024,361","$152,915,000","$340,939,361",Paramount Pictures,"$50,203,562","$17,000,000","Apr 6, 2018",PG-13,1 hr 30 min,"Drama
    
        Horror
    
        Sci-Fi"
Bohemian Rhapsody,"$216,428,042","$687,227,217","$903,655,259",Twentieth Century Fox,"$51,061,119","$52,000,000","Nov 2, 2018",PG-13,2 hr 14 min,"Biography
    
        Drama
    
        Music"
A Star Is Born,"$215,288,866","$220,900,000","$436,188,866",Warner Bros.,"$42,908,051","$36,000,000","Oct 5, 2018",R,2 hr 16 min,"Drama
    
        Music
    
        Romance"
Venom,"$213,515,506","$642,569,645","$856,085,151",Sony Pictures Entertainment (SPE),"$80,255,756","$100,000,000","Oct 5, 2018",PG-13,1 hr 52 min,"Action
    
        Adventure
    
        Sci-Fi"
Solo: A Star Wars Story,"$213,767,512","$179,157,295","$392,924,807",Walt Disney Studios Motion Pictures,"$84,420,489","$275,000,000","May 25, 2018",PG-13,2 hr 15 min,"Action
    
        Adventure
    
        Sci-Fi"
The Grinch,"$270,620,950","$240,975,007","$511,595,957",Universal Pictures,"$67,572,855","$75,000,000","Nov 9, 2018",PG,1 hr 25 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy
    
        Musical"
Mission: Impossible - Fallout,"$220,159,104","$570,956,000","$791,115,104",Paramount Pictures,"$61,236,534","$178,000,000","Jul 27, 2018",PG-13,2 hr 27 min,"Action
    
        Adventure
    
        Thriller"
Jumanji: Welcome to the Jungle,"$404,515,480","$557,562,066","$962,077,546",Sony Pictures Entertainment (SPE),"$36,169,328","$90,000,000","Dec 20, 2017",PG-13,1 hr 59 min,"Action
    
        Adventure
    
        Comedy
    
        Fantasy"
Deadpool 2,"$318,491,426","$416,055,185","$734,546,611",Twentieth Century Fox,"$125,507,153","$110,000,000","May 18, 2018",R,1 hr 59 min,"Action
    
        Adventure
    
        Comedy
    
        Sci-Fi"
Jurassic World: Fallen Kingdom,"$417,719,760","$890,748,184","$1,308,467,944",Universal Pictures,"$148,024,610","$170,000,000","Jun 22, 2018",PG-13,2 hr 8 min,"Action
    
        Adventure
    
        Sci-Fi"
Dinner for Schmucks,"$73,026,337","$13,829,402","$86,855,739",DreamWorks,"$23,527,839","$69,000,000","Jul 30, 2010",PG-13,1 hr 54 min,Comedy
The Bounty Hunter,"$67,061,228","$69,272,294","$136,333,522",Sony Pictures Entertainment (SPE),"$20,686,423","$40,000,000","Mar 19, 2010",PG-13,1 hr 50 min,"Action
    
        Comedy
    
        Romance"
Knight and Day,"$76,423,035","$185,507,401","$261,930,436",Twentieth Century Fox,"$20,139,985","$117,000,000","Jun 23, 2010",PG-13,1 hr 49 min,"Action
    
        Adventure
    
        Comedy"
It's Complicated,"$112,735,375","$106,368,280","$219,103,655",Universal Pictures,"$22,100,820","$85,000,000","Dec 25, 2009",R,2 hr 1 min,"Comedy
    
        Drama
    
        Romance"
